primary_title,genres
The Revenant,"Action,Adventure,Biography"
Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy"
Divergent,"Action,Adventure,Mystery"
Inception,"Action,Adventure,Sci-Fi"
Skyfall,"Action,Adventure,Thriller"
Dredd,"Action,Crime,Sci-Fi"
Logan,"Action,Drama,Sci-Fi"
300: Rise of an Empire,"Action,Fantasy,War"
Get Him to the Greek,"Adventure,Comedy,Music"
Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy"
Interstellar,"Adventure,Drama,Sci-Fi"
True Grit,"Adventure,Drama,Western"
The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy"
The Hobbit: The Desolation of Smaug,"Adventure,Fantasy"
Harry Potter and the Deathly Hallows: Part 1,"Adventure,Fantasy,Mystery"
Prometheus,"Adventure,Mystery,Sci-Fi"
The Imitation Game,"Biography,Drama,Thriller"
Les Misérables,"Drama,History,Musical"
Django Unchained,"Drama,Western"
Beauty and the Beast,"Family,Fantasy,Musical"
