title,studio,domestic_gross,foreign_gross,year
'71,RAtt.,1300000.0,355000,2015
"1,000 Times Good Night",FM,53900.0,,2014
10 Cloverfield Lane,Par.,72100000.0,38100000,2016
10 Years,Anch.,203000.0,,2012
1001 Grams,KL,11000.0,,2015
102 Not Out,Sony,1300000.0,10900000,2018
11-11-11,Rocket,32800.0,5700000,2011
12 Strong,WB,45800000.0,21600000,2018
12 Years a Slave,FoxS,56700000.0,131100000,2013
127 Hours,FoxS,18300000.0,42400000,2010
13 Assassins,Magn.,803000.0,16800000,2011
13 Hours: The Secret Soldiers of Benghazi,Par.,52900000.0,16600000,2016
13 Minutes,SPC,162000.0,,2017
13 Sins,RTWC,13800.0,,2014
14 Blades,RTWC,,3800000,2014
17 Girls,Strand,15100.0,186000,2012
1911,Vari.,136000.0,,2011
"2 Autumns, 3 Winters",FM,5800.0,,2014
2 Days in New York,Magn.,633000.0,1000000,2012
2 Guns,Uni.,75600000.0,56300000,2013
2 States,UTV,2200000.0,,2014
20 Feet from Stardom,RTWC,4900000.0,,2013
20 Once Again,CJ,235000.0,,2015
"20,000 Days on Earth",Drft.,280000.0,1800000,2014
2001: A Space Odyssey (2018 re-release),WB,3200000.0,,2018
20th Century Women,A24,5700000.0,,2016
21 Jump Street,Sony,138400000.0,63100000,2012
21 and Over,Rela.,25700000.0,22400000,2013
22 Bullets,Cdgm.,,21300000,2013
22 Jump Street,Sony,191700000.0,139600000,2014
28 Hotel Rooms,Osci.,18900.0,,2012
2:22,Magn.,400.0,,2017
3 (2011),Strand,60000.0,2600000,2011
"3 1/2 Minutes, 10 Bullets",Part.,30400.0,,2015
3 Days to Kill,Rela.,30700000.0,21900000,2014
3 Generations,Wein.,156000.0,375000,2017
3 Idiotas,PNT,1200000.0,,2017
30 Minutes or Less,Sony,37100000.0,3500000,2011
300: Rise of An Empire,WB,106600000.0,231000000,2014
360,Magn.,100000.0,1600000,2012
44 Inch Chest,Imag.,39000.0,255000,2010
45 Years,IFC,4200000.0,,2015
47 Meters Down,ENTMP,44300000.0,,2017
47 Ronin,Uni.,38400000.0,113400000,2013
4:44: Last Day on Earth,IFC,17800.0,,2012
5 Broken Cameras,KL,110000.0,,2012
5 Days of War,Anch.,17500.0,,2011
5 Flights Up,FCW,1000000.0,,2015
5 to 7,IFC,163000.0,,2015
50/50,Sum.,35000000.0,4200000,2011
6 Below: Miracle on the Mountain,MOM,14800.0,1100000,2017
6 Souls,RTWC,,852000,2013
7 Boxes,BGP,38100.0,267000,2014
7 Days in Entebbe,Focus,3300000.0,5400000,2018
7 Khoon Maaf,UTV,270000.0,94700,2011
71 Into the Fire,JS,177000.0,20800000,2010
99 Homes,BG,1400000.0,,2015
A Bad Moms Christmas,STX,72100000.0,58400000,2017
A Beautiful Life,CL,66200.0,,2011
A Beautiful Planet,Imax,15500000.0,9400000,2016
A Better Life,Sum.,1800000.0,,2011
A Bigger Splash,FoxS,2000000.0,5500000,2016
A Borrowed Identity,Strand,282000.0,,2015
A Bottle in the Gaza Sea,FM,5900.0,306000,2013
A Brilliant Young Mind,Gold.,172000.0,,2015
A Ciambra,IFC,41900.0,,2018
A Coffee in Berlin,MBox,150000.0,2600000,2014
A Cure for Wellness,Fox,8100000.0,18500000,2017
A Dangerous Method,SPC,5700000.0,21800000,2011
A Dog's Purpose,Uni.,64500000.0,140500000,2017
A Fantastic Woman,SPC,2000000.0,,2018
A Five Star Life,MBox,307000.0,2200000,2014
A Gentleman,FIP,410000.0,2500000,2017
A Ghost Story,A24,1600000.0,,2017
A Girl Walks Home Alone at Night,KL,492000.0,,2014
A Glimpse Inside the Mind of Charles Swan III,A24,45400.0,,2013
A Good Day to Die Hard,Fox,67300000.0,237300000,2013
A Good Old Fashioned Orgy,Gold.,200000.0,,2011
A Haunted House,ORF,40000000.0,20100000,2013
A Haunted House 2,ORF,17300000.0,6600000,2014
A Hijacking,Magn.,414000.0,,2013
A Hologram for the King,RAtt.,4200000.0,,2016
A Journey Through Time with Anthony,CL,127000.0,,2015
A Late Quartet,EOne,1600000.0,,2012
A Letter to Momo,GK,71700.0,6700000,2014
A Little Bit of Heaven,MNE,15400.0,1300000,2012
A Little Chaos,FCW,558000.0,9500000,2015
A Long Way Down,Magn.,13300.0,7200000,2014
A Man Called Ove,MBox,3500000.0,,2016
A Melody to Remember,CJ,44300.0,,2016
A Million Ways to Die in the West,Uni.,43100000.0,44100000,2014
A Monster Calls,Focus,3700000.0,43600000,2016
A Monster with a Thousand Heads,MBox,24900.0,,2016
A Most Violent Year,A24,5700000.0,6300000,2014
A Most Wanted Man,RAtt.,17200000.0,19000000,2014
A Nightmare on Elm Street (2010),WB (NL),63100000.0,52600000,2010
A Paris Education,KL,21600.0,,2018
A Perfect Day,IFC,14000.0,1700000,2016
A Pigeon Sat on a Branch Reflecting on Existence,Magn.,223000.0,,2015
A Poem Is a Naked Person (2015 re-issue),Jan.,96600.0,,2015
A Private War,Aviron,1600000.0,2200000,2018
A Prophet (Un prophète),SPC,2100000.0,15800000,2010
A Quiet Passion,MBox,1900000.0,,2017
A Quiet Place,Par.,188000000.0,152900000,2018
A Royal Affair,Magn.,1500000.0,6000000,2012
A Royal Night Out,ADC,228000.0,,2015
A Screaming Man,FM,9900.0,175000,2011
A Separation,SPC,7100000.0,12800000,2011
A Silent Voice,Elev.,310000.0,,2017
A Simple Favor,LGF,53500000.0,44100000,2018
A Simple Life,CL,192000.0,2600000,2012
A Somewhat Gentle Man,Strand,37700.0,1800000,2011
A Star is Born (2018),WB,215300000.0,218900000,2018
A Street Cat Named Bob,Cleopatra,82700.0,,2016
A Tale of Love and Darkness,FCW,572000.0,,2016
A Tale of Winter (Conte d'hiver),BWP,23300.0,,2014
A Taxi Driver,WGUSA,1500000.0,80100000,2017
A Thousand Words,P/DW,18500000.0,3600000,2012
A United Kingdom,FoxS,3900000.0,9900000,2017
A Very Harold & Kumar 3D Christmas,WB,35100000.0,326000,2011
A Walk Among the Tombstones,Uni.,26300000.0,26900000,2014
A Walk in the Woods,BG,29500000.0,8000000,2015
A War,Magn.,123000.0,,2016
A Wedding Invitation,CJ,14400.0,,2013
A Werewolf Boy,CJ,343000.0,41300000,2012
A Woman's Life,KL,37600.0,,2017
"A Woman, A Gun and A Noodle Shop",SPC,191000.0,121000,2010
A Wrinkle in Time,BV,100500000.0,32200000,2018
ABCD (Any Body Can Dance),UTV,222000.0,,2013
ABCD (Any Body Can Dance) 2,UTV,892000.0,,2015
ATM,IFC,3000.0,,2012
Aarakshan (Reservation),Relbig.,651000.0,,2011
Aashayein (Wishes),Relbig.,,3800,2010
Abduction,LGF,28100000.0,54000000,2011
About Cherry,IFC,3000.0,,2012
About Last Night (2014),SGem,48600000.0,365000,2014
About Time,Uni.,15300000.0,71800000,2013
Abracadabra,Sony,14000.0,,2017
Abraham Lincoln: Vampire Hunter,Fox,37500000.0,79000000,2012
Absolutely Anything,ADC,20200.0,,2017
Absolutely Fabulous: The Movie,FoxS,4800000.0,33100000,2016
